region,resortName,state,city,latlon
New England,Mohawk Mountain Ski Area,Connecticut,Cornwall,"41.83839883864923, -73.3149942288386"
New England,Mount Southington,Connecticut,Plantsville,"41.58224478364855, -72.92487811535197"
New England,Powder Ridge Ski Area,Connecticut,Middlefield,"41.50181371863382, -72.73647575953296"
New England,Ski Sundown,Connecticut,New Hartford,"41.884852916742, -72.94668787301656"
New England,Baker Mountain,Maine,Bingham,"43.82787356113855, -70.38061305147048"
New England,Big Rock,Maine,Mars Hill,"46.52258813380793, -67.82893537290195"
New England,Big Squaw,Maine,Greenville,"45.50683471700373, -69.70198404409228"
New England,Black Mountain of Maine,Maine,Rumford,"44.57714307703827, -70.61333330178728"
New England,Camden Snow Bowl,Maine,Camden,"44.21746071283373, -69.13468558830365"
New England,Eaton Mountain,Maine,Skowhegan,"44.76790464121089, -69.61745383061833"
New England,Hermon Mountain,Maine,Hermon,"44.78099860998669, -68.95730308828955"
New England,Lonesome Pine Trails,Maine,Fort Kent,"47.2462319609751, -68.59451664589804"
New England,Lost Valley,Maine,Auburn,"44.136247918803576, -70.28297641088625"
New England,Mount Abram,Maine,Greenwood,"44.379980313375306, -70.70680052877726"
New England,Mount Jefferson Ski Area,Maine,Lee,"45.35421850056571, -68.28308814594683"
New England,Pinnacle Ski Club,Maine,Pittsfield,"44.79558934830069, -69.38769843061762"
New England,Powderhouse Hill,Maine,South Berwick,"43.23684523710715, -70.80238805949183"
New England,Quoggy Jo,Maine,Presque Isle,"46.72338205652633, -67.9291734425977"
New England,Saddleback Maine,Maine,Rangeley,"44.94636155637966, -70.52712431712136"
New England,Shawnee Peak,Maine,Bridgton,"44.05916322889485, -70.81541684412846"
New England,Sugarloaf,Maine,Carrabassett Valley,"45.03264359587997, -70.31363819487653"
New England,Sunday River,Maine,Newry,"44.47359426304337, -70.85694780364064"
New England,Titcomb Mountain,Maine,Farmington,"44.64985956700344, -70.17028853062124"
New England,Berkshire East Ski Resort,Massachusetts,Charlemont,"42.62131426941178, -72.87717791717822"
New England,Blandford Ski Area,Massachusetts,Blandford,"42.200658271605704, -72.91711617348383"
New England,Blue Hills Ski Area,Massachusetts,Canton,"42.21598712225279, -71.11905792763235"
New England,Bousquet Ski Area,Massachusetts,Pittsfield,"42.419249186089814, -73.2765876730039"
New England,Butternut,Massachusetts,Great Barrington,"42.18411496956803, -73.32024457014731"
New England,Easton Ski Area at Eaglebrook School (private),Massachusetts,,"42.545438023633, -72.60557117132336"
New England,Jiminy Peak,Massachusetts,Hancock,"42.55537784801918, -73.2922293595082"
New England,Mount Greylock Ski Club,Massachusetts,Williamstown (private),"42.63432115537392, -73.21510888649131"
New England,Nashoba Valley Ski Area,Massachusetts,Westford,"42.54275838791329, -71.44486870183687"
New England,Otis Ridge,Massachusetts,Otis,"42.19658758951682, -73.09835475951671"
New England,Ski Bradford,Massachusetts,Haverhill,"42.74489273995785, -71.05596540553347"
New England,Ski Ward,Massachusetts,Shrewsbury,"42.30166578838422, -71.68298753067832"
New England,Wachusett Mountain,Massachusetts,Princeton,"42.50313616618837, -71.88630544452765"
New England,Abenaki Ski Area,New Hampshire,Wolfeboro,"43.61174994755727, -71.22914991715433"
New England,Arrowhead,New Hampshire,Claremont,"43.36385217829789, -72.33380781530964"
New England,Attitash,New Hampshire,Bartlett,"44.08288529347267, -71.22948093329238"
New England,Black Mountain,New Hampshire,Jackson,"44.166881273849995, -71.16381568830494"
New England,Bretton Woods,New Hampshire,Bretton Woods,"44.254738854939085, -71.43797610182983"
New England,Cannon Mountain,New Hampshire,Franconia Notch,"44.17849265965489, -71.70193637032298"
